Zip Code,Population
12572,"8,869"
12540,"8,856"
14905,"8,751"
13214,"8,702"
13224,"8,659"
14068,"8,636"
13036,"8,616"
13367,"8,601"
13365,"8,578"
10018,"8,559"
14085,"8,531"
11557,"8,504"
11558,"8,454"
10920,"8,451"
13035,"8,428"
11963,"8,390"
14482,"8,339"
14209,"8,313"
12754,"8,296"
12043,"8,287"
11705,"8,284"
12159,"8,163"
14428,"8,127"
14011,"8,122"
14057,"7,972"
14589,"7,967"
11109,"7,948"
12009,"7,934"
12033,"7,932"
14204,"7,932"
12204,"7,812"
12184,"7,787"
14470,"7,758"
12564,"7,734"
13029,"7,725"
14892,"7,703"
11560,"7,696"
13152,"7,681"
10504,"7,665"
10589,"7,604"
14141,"7,603"
14445,"7,529"
13902,"7,449"
12018,"7,422"
10007,"7,406"
13340,"7,404"
13403,"7,388"
13732,"7,385"
11789,"7,369"
10533,"7,362"
12721,"7,359"
12305,"7,356"
12563,"7,304"
12983,"7,296"
10595,"7,243"
11363,"7,223"
13114,"7,214"
10547,"7,205"
13202,"7,098"
14903,"7,078"
12307,"7,050"
12077,"7,017"
12428,"6,995"
10590,"6,989"
14489,"6,897"
12972,"6,895"
12222,"6,889"
12198,"6,796"
14464,"6,755"
11709,"6,744"
14779,"6,738"
11507,"6,736"
12570,"6,698"
11933,"6,693"
14886,"6,652"
14414,"6,576"
14514,"6,572"
13135,"6,515"
12186,"6,512"
10069,"6,509"
10607,"6,466"
11786,"6,459"
14132,"6,453"
14569,"6,430"
11721,"6,426"
13346,"6,406"
13077,"6,405"
10994,"6,370"
13142,"6,365"
11971,"6,361"
10996,"6,349"
12822,"6,284"
10506,"6,244"
10502,"6,197"
14303,"6,156"
12832,"6,153"
12518,"6,114"
13211,"6,111"
10507,"6,109"
13108,"6,093"
13316,"6,063"
13073,"6,054"
12834,"6,039"
14047,"6,013"
13339,"6,010"
14469,"6,008"
10577,"5,945"
14706,"5,939"
10983,"5,934"
10282,"5,887"
13856,"5,881"
12158,"5,878"
12051,"5,876"
11980,"5,855"
13309,"5,825"
11940,"5,819"
14837,"5,801"
12582,"5,786"
14036,"5,782"
14009,"5,748"
14108,"5,713"
13753,"5,696"
11020,"5,676"
14174,"5,669"
12143,"5,664"
12962,"5,654"
13166,"5,622"
12542,"5,612"
13865,"5,610"
13118,"5,591"
14530,"5,553"
14568,"5,547"
14432,"5,518"
14487,"5,492"
12090,"5,482"
14136,"5,450"
12446,"5,414"
11942,"5,406"
10516,"5,362"
13778,"5,351"
12170,"5,351"
10532,"5,347"
10913,"5,343"
12084,"5,328"
12986,"5,326"
12833,"5,316"
14105,"5,313"
